所属地区,平均价格
万象城,43.36363636363637
上街区,27.666666666666668
世纪城,50.0
东建材,67.06666666666666
中原万达,41.72549019607843
中原区,49.0
丰业广场/千盛广场,37.77777777777778
丹尼斯,10.0
丹尼斯·大卫城,65.54545454545455
二七万达,40.3
二七区,67.0
五四广场/万客隆,44.0
人民路/紫荆山,45.2
人民路百盛,54.0
体育馆,43.0
健康路/零零茂,43.5
儿童公园/凯旋门,32.833333333333336
农科路酒吧街,52.083333333333336
凤凰城/上悦城,48.44444444444444
刘集镇,33.0
北京华联,23.4
北大学城,41.21875
医学院,30.88888888888889
升龙广场,38.5
华南城/高坡岩,30.636363636363637
华强城市广场,42.714285714285715
县政府,11.0
和昌都汇广场,41.42857142857143
回郭镇,16.0
国贸360,41.791666666666664
大上海城,42.77777777777778
大商/升龙城,64.33333333333333
大商金博大,48.0
大石桥,45.0
天旺广场,37.0
宋陵公园,16.0
富田太阳城,41.5
嵩阳公园,0.0
巩义东区,5.0
市人民医院,35.0
帝湖,41.75
庆都生活广场,35.333333333333336
康桥商务广场,39.5
建业购物广场,24.333333333333332
建文新世界,45.61538461538461
廿峡线,0.0
惠济区,59.25
新世界百货,29.75
新区/华信学院,19.5
新郑,0.0
新郑机场,21.0
星月时代广场,29.1
普罗旺世/庙李,29.333333333333332
曼哈顿广场,48.660377358490564
月季公园,49.0
柳林刘庄,34.57142857142857
橄榄城,33.5
欧凯龙城市广场,12.0
汽车站,13.0
沃金/山顶福都,30.5
沙门/汽配,18.0
河南工程学院,32.5
海龙时代广场,35.25
溱水路沿线,44.0
潘安公园,49.0
瀚海北金,34.42857142857143
火车站/二七广场,34.059701492537314
炎黄广场,38.25
熙地港/王府井,52.85
登封,14.0
白坪新区/棋盘山公园,49.0
白沙镇,23.0
百货大楼/中天广场,30.2
省电视台,46.375
碧沙岗,36.333333333333336
祭城/大旺城,49.3
福都生活广场,34.833333333333336
科技市场/硅谷广场,23.083333333333332
管城回族区,44.833333333333336
紫荆山公园,43.0
经三路沿线,33.0
经开区,38.625
航空港区,17.0
荥阳市人民医院,24.625
荥阳市政府,25.5
裕华广场/省体育中心,28.0
裕达国贸,114.22222222222223
西亚斯大学,31.125
西元国际广场,33.1
财院/轻工业学院,26.466666666666665
郑东新区CBD,48.24390243902439
郑东新区东建材,121.55555555555556
郑州东站,54.07692307692308
郑州大学,29.666666666666668
郑铁体育中心,49.25
金博大/丹尼斯,30.5
金水万达/蓝堡湾,67.38461538461539
金水区,34.0
金水区省政府,84.71428571428571
鑫苑鑫都汇,27.444444444444443
锦艺城,41.07142857142857
长城康桥华城,21.2
长江中路沿线,29.4
长途客运总站,28.166666666666668
陈寨/张家村,30.444444444444443
马寨镇,38.0
高新区,38.404761904761905
龙子湖校区,36.55555555555556
龙湖广场/升达大学,33.42857142857143
